id,label,type,canonical_id,domain,description
HEX_11_태,HEX_11_태,iching_alias,HEX_11,iching,HEX_11_태 alias of HEX_11.
HEX_12_비,HEX_12_비,iching_alias,HEX_12,iching,HEX_12_비 alias of HEX_12.
HEX_13_동인,HEX_13_동인,iching_alias,HEX_13,iching,HEX_13_동인 alias of HEX_13.
HEX_14_대유,HEX_14_대유,iching_alias,HEX_14,iching,HEX_14_대유 alias of HEX_14.
HEX_15_겸,HEX_15_겸,iching_alias,HEX_15,iching,HEX_15_겸 alias of HEX_15.
HEX_16_예,HEX_16_예,iching_alias,HEX_16,iching,HEX_16_예 alias of HEX_16.
HEX_17_수,HEX_17_수,iching_alias,HEX_17,iching,HEX_17_수 alias of HEX_17.
HEX_18_고,HEX_18_고,iching_alias,HEX_18,iching,HEX_18_고 alias of HEX_18.
HEX_19_임,HEX_19_임,iching_alias,HEX_19,iching,HEX_19_임 alias of HEX_19.
HEX_20_관,HEX_20_관,iching_alias,HEX_20,iching,HEX_20_관 alias of HEX_20.
HEX_21_서합,HEX_21_서합,iching_alias,HEX_21,iching,HEX_21_서합 alias of HEX_21.
HEX_22_비,HEX_22_비,iching_alias,HEX_22,iching,HEX_22_비 alias of HEX_22.
HEX_23_박,HEX_23_박,iching_alias,HEX_23,iching,HEX_23_박 alias of HEX_23.
HEX_24_복,HEX_24_복,iching_alias,HEX_24,iching,HEX_24_복 alias of HEX_24.
HEX_25_무망,HEX_25_무망,iching_alias,HEX_25,iching,HEX_25_무망 alias of HEX_25.
HEX_26_대축,HEX_26_대축,iching_alias,HEX_26,iching,HEX_26_대축 alias of HEX_26.
HEX_27_이,HEX_27_이,iching_alias,HEX_27,iching,HEX_27_이 alias of HEX_27.
HEX_28_대과,HEX_28_대과,iching_alias,HEX_28,iching,HEX_28_대과 alias of HEX_28.
HEX_29_감,HEX_29_감,iching_alias,HEX_29,iching,HEX_29_감 alias of HEX_29.
HEX_30_리,HEX_30_리,iching_alias,HEX_30,iching,HEX_30_리 alias of HEX_30.
